id,code_INSEE,tens_vap_med,surface_parcourue_m2
1,43192,8.1,72000
2,15095,9.4,150000
3,15205,7.6,300000
4,15187,8.7,70000
5,15029,9.65,80000
6,15229,8.3,50000
7,12099,10.6,75000
8,12240,9.65,75000
9,15038,7.3,180000
10,15015,9.4,50000
11,38138,10.2,50000
12,58003,9.6,70000
13,12096,10.4,50000
14,12147,9.55,50000
15,15166,10.1,50000
16,15083,9.4,60000
17,38523,11.0,50000
18,12130,10.1,650000
19,15207,3.6,100000
20,97411,20.75,150000
21,97411,20.75,85000
22,40184,12.7,162907
23,40040,11.2,153000
24,33329,12.4,119800
25,16384,11.4,50000
26,34235,9.6,74000
27,34178,11.1,83300
28,2B251,12.6,200000
29,4093,8.8,182000
30,66072,7.15,50000
31,30090,9.6,102800
32,7194,12.1,86000
33,7114,8.3,120000
34,7263,9.6,166000
35,34316,10.7,55000
36,34016,10.95,150000
37,34286,10.7,100000
38,34341,11.9,101100
39,4229,9.1,68000
40,11251,11.7,64200
41,34143,11.9,320000
42,34286,10.7,190200
43,7202,9.7,450000
44,7136,8.5,76000
45,6042,7.1,518181
46,6116,7.7,120500
47,2B049,11.9,50000
48,48119,8.5,50000
49,66179,9.65,70000
50,66016,12.3,50000
51,7045,9.7,590000
52,5033,8.7,223300
53,7153,9.5,114000
54,11265,8.5,53200
55,83007,11.3,50000
56,48022,8.8,60000
57,48097,9.2,50000
58,48186,8.8,60000
59,30062,12.3,70606
60,4039,7.75,50000
61,83114,10.7,60475
62,34169,10.9,76600
63,7147,9.7,80000
64,2A324,9.25,153000
65,2A139,12.2,147300
66,2B096,4.9,70000
67,2B080,10.9,260200
68,66207,10.95,100000
69,66056,10.95,50000
70,66088,11.2,70000
71,2B058,12.55,50000
72,34339,11.0,140000
73,83150,10.2,50000
74,2B185,12.3,60000
75,2B079,11.4,185100
76,2B110,10.9,150067
77,11097,10.6,267000
78,66004,6.9,300000
79,66021,12.1,100000
80,2B112,12.6,650000
81,11396,11.2,672258
82,11069,11.4,95300
83,4070,9.3,50000
84,2B185,12.3,59000
85,34038,10.5,130000
86,48070,7.3,350000
87,2B185,12.3,60000
88,2B185,12.3,60000
89,2B049,11.9,60000
90,13067,11.8,74000
91,13001,10.85,180000
92,11262,12.1,582300
93,34186,10.7,52000
94,11285,12.1,71100
95,34032,11.8,54000
96,2B185,12.3,90000
97,7038,9.7,500000
98,7147,9.7,80000
99,48148,10.1,50000
100,66137,11.0,120000
101,34165,11.9,414500
102,66141,11.4,140000
103,66069,11.4,50000
104,83099,12.5,254000
105,34061,11.1,230000
106,66030,10.95,50000
107,66214,11.8,160000
108,66005,6.85,630000
109,66088,11.2,50000
110,66227,11.4,150000
111,11397,11.7,143800
112,66147,6.85,50000
113,4163,8.5,297000
114,4156,9.2,264000
115,13112,10.8,320000
116,5024,9.5,400000
117,7210,9.6,70000
118,2A004,12.9,438000
119,2A004,12.9,50000
120,66150,7.05,90000
121,7266,9.7,230000
122,6057,9.4,52400
123,22233,11.5,200000
124,17110,11.4,90000
125,12275,10.5,120000
126,43220,8.3,124000
127,65066,9.15,500000
128,82038,11.1,70000
129,33230,11.4,344800
130,24263,11.1,220000
131,34305,10.9,104300
132,2B034,12.6,60000
133,2B350,12.8,60000
134,66048,12.3,300000
135,4023,8.7,153000
136,4023,8.7,87000
137,2B167,11.9,175800
138,30032,11.4,72745
139,2B185,12.3,118300
140,34218,11.0,58000
141,2B123,12.6,60000
142,2B185,12.3,144800
143,30032,11.4,62659
144,11122,11.8,153000
145,66186,12.1,70000
146,2B123,12.6,60000
147,2B350,12.8,557600
148,2B205,13.3,99200
149,34323,11.0,65200
150,30033,10.85,146571
151,34147,11.1,78000
152,2B337,11.4,230500
153,66205,10.5,190000
154,2B187,13.3,50000
155,2B143,13.3,80000
156,2B185,12.3,111400
157,2B298,12.3,50000
158,2B185,12.3,60000
159,34281,10.95,681500
160,7334,10.4,300000
161,34026,12.7,220000
162,66145,11.8,70000
163,11262,12.1,916000
164,2B188,12.3,87000
165,2B287,8.9,560000
166,66016,12.3,50000
167,2B167,11.9,60000
168,66136,11.4,60000
169,13002,10.4,114000
170,2B049,11.9,384300
171,2B184,12.55,156900
172,2B043,12.95,191200
173,11269,12.1,51800
174,34289,11.4,78400
175,34168,11.0,54000
176,6153,4.6,57500
177,13065,11.8,63000
178,2B188,12.3,70000
179,83140,10.05,110000
180,4217,9.4,135600
181,66080,5.0,50000
182,65352,10.1,150000
183,15251,8.3,60000
184,15149,8.6,60000
185,41018,12.0,50000
186,33095,11.0,270000
187,33095,11.0,1000000
188,33212,11.9,60000
189,40046,12.05,105000
190,40244,12.2,280000
191,6074,7.8,700300
192,6082,7.1,172200
193,30105,8.4,119728
194,4097,9.3,52000
195,66190,12.1,200000
196,34061,11.1,105000
197,34158,12.7,60000
198,34045,11.0,81600
199,30091,12.3,294471
200,34170,11.0,92000
201,11296,12.7,50714
202,2B030,12.55,196367
203,2B183,12.55,305959
204,66190,12.1,60000
205,2B034,12.6,184082
206,11351,11.8,57902
207,2B314,8.9,683810
208,2B314,8.9,352974
209,34178,11.1,77000
210,34025,11.0,51000
211,2A272,12.4,90000
212,2A048,11.8,280000
213,2B037,12.8,140500
214,34302,12.7,122700
215,7322,9.7,60000
216,2B170,13.4,60000
217,2B316,12.6,95770
218,34113,11.9,365000
219,7003,9.6,50000
220,34123,12.0,605000
221,2A269,12.2,330000
222,34341,11.9,68000
223,2B283,12.6,304678
224,34302,12.7,195800
225,34116,10.9,70000
226,34074,11.1,230000
227,2B123,12.6,847798
228,11260,10.5,50700
229,34313,11.4,52000
230,2A048,11.8,61000
231,2A139,12.2,930000
232,2B079,11.4,174142
233,66108,10.95,200000
234,34226,11.0,130000
235,2A254,9.45,160000
236,2A004,12.9,109000
237,2B049,11.9,69664
238,2B287,8.9,98454
239,7210,9.6,300000
240,34225,11.1,58000
241,66072,7.15,100000
242,6132,10.5,78900
243,6013,7.9,77400
244,48172,9.2,172000
245,34045,11.0,75000
246,34190,12.7,77800
247,12094,9.65,60000
248,12226,9.65,50000
249,39086,9.5,50000
250,81004,11.1,110000
251,79280,11.0,208000
252,73019,5.0,190000
253,54305,9.6,120000
254,54490,9.4,270000
255,79168,11.25,140300
256,45092,10.7,110000
257,35152,11.2,60000
258,3004,11.1,281000
259,73211,6.2,150000
260,97417,21.6,164000
261,45032,10.7,310000
262,3006,11.1,50000
263,3217,10.5,91300
264,33300,12.0,190000
265,33422,11.9,67000
266,33238,12.1,70000
267,33229,11.85,50000
268,33104,12.05,680000
269,40332,12.5,90000
270,40167,12.1,220000
271,40149,11.0,58000
272,41043,11.6,70000
273,41130,11.5,110000
274,41186,11.3,50000
275,41087,11.9,80000
276,42326,8.15,230000
277,2B123,12.6,103518
278,11170,12.1,105836
279,2B320,13.3,322164
280,34286,10.7,184500
281,34319,11.0,710000
282,2B185,12.3,230000
283,2B201,13.3,62321
284,7323,11.4,151000
285,11315,11.2,85400
286,11386,10.5,54934
287,2B143,13.3,100350
288,11009,11.4,163000
289,7258,8.3,50000
290,84129,11.2,250000
291,2B079,11.4,125400
292,11259,11.4,299200
293,2B059,11.4,52292
294,26318,9.3,60000
295,34103,11.0,86200
296,34003,12.9,70000
297,34019,10.5,60150
298,34181,11.0,92500
299,2B095,9.2,113588
300,2B290,12.6,488130
301,2B185,12.3,78800
302,2B361,11.9,322405
303,34237,11.0,78000
304,30231,8.5,934600
305,48122,8.8,56500
306,48074,8.9,161000
307,34242,10.9,590000
308,83061,10.35,167300
309,66076,10.8,50000
310,66205,10.5,80000
311,66215,10.25,350000
312,66058,10.95,270000
313,66136,11.4,50000
314,66205,10.5,60000
315,84147,10.7,70000
316,2B080,10.9,56360
317,34302,12.7,185000
318,66030,10.95,82600
319,13005,11.2,92700
320,2A038,12.4,50400
321,66215,10.25,200000
322,34020,12.7,61000
323,2B341,9.7,480000
324,66008,12.3,141500
325,11198,11.2,58800
326,11022,12.7,250700
327,66127,11.5,80000
328,2B355,12.8,194784
329,11016,11.7,187100
330,66014,11.4,80000
331,30009,9.55,90800
332,30009,9.55,61500
333,2B096,4.9,115000
334,11018,11.4,52900
335,6162,9.1,217500
336,11285,12.1,55873
337,11276,10.5,50802
338,34339,11.0,121500
339,7112,9.6,380000
340,2A031,9.4,339000
341,48116,8.8,648000
342,48022,8.8,138000
343,4194,10.1,204800
344,6074,7.8,178700
345,6103,7.9,387400
346,7286,9.15,300000
347,2B337,11.4,53361
348,6074,7.8,73100
349,6074,7.8,82100
350,6132,10.5,89200
351,6023,10.5,59500
352,6103,7.9,102300
353,26113,9.9,73000
354,12163,9.3,200000
355,12082,9.55,70000
356,12076,9.65,50000
357,46183,10.4,220000
358,18219,10.9,93300
359,81066,10.05,800000
360,58081,10.7,80000
361,17038,11.4,104100
362,17074,11.8,52600
363,17110,11.4,220000
364,47234,11.6,50050
365,33273,11.9,80000
366,2B183,12.55,60000
367,2B281,12.95,200000
368,2B109,13.3,50000
369,6142,9.6,107161
370,48166,8.8,104100
371,48194,8.5,151100
372,84034,10.8,200000
373,6098,10.1,60324
374,6074,7.8,131743
375,2B159,12.55,83700
376,2B313,13.3,90000
377,34103,11.0,140300
378,34004,11.0,142600
379,7202,9.7,200000
380,6074,7.8,62601
381,34166,11.8,425000
382,11198,11.2,140300
383,2B096,4.9,248000
384,66143,10.85,600000
385,66030,10.95,50000
386,66030,10.95,200000
387,66140,10.95,150000
388,11308,11.4,144520
389,11273,12.7,185068
390,11099,11.4,829689
391,83069,13.15,73000
392,83064,12.1,75000
393,2B143,13.3,80000
394,13026,11.4,1000000
395,13056,12.4,460000
396,34032,11.8,87000
397,34225,11.1,51500
398,2B355,12.8,464200
399,66180,12.1,100000
400,66071,10.95,150000
401,11144,12.5,121304
402,48004,8.5,229000
403,11262,12.1,324079
404,34145,12.3,51700
405,34163,10.8,127500
406,11390,11.8,102861
407,2B320,13.3,51000
408,34148,11.1,101700
409,2B009,13.3,66000
410,2B185,12.3,97300
411,66106,11.0,400000
412,30181,11.1,52692
413,30141,11.1,102268
414,11162,11.9,74533
415,34285,11.4,287500
416,11022,12.7,90908
417,66164,11.4,500000
418,66205,10.5,331900
419,66212,12.1,150000
420,66008,12.3,50000
421,11148,11.8,211482
422,11361,11.9,52980
423,2B251,12.6,399600
424,13001,10.85,414600
425,66030,10.95,90000
426,13056,12.4,57600
427,13118,10.8,50900
428,13097,11.1,166400
429,2B105,10.9,80000
430,2B238,10.9,340039
431,2B009,13.3,88000
432,2B096,4.9,784900
433,2B148,12.8,100135
434,2B116,10.9,263500
435,84030,10.6,80000
436,2B148,12.8,53500
437,34073,11.8,67600
438,11286,11.2,263087
439,11410,11.2,107055
440,66030,10.95,80000
441,34291,9.3,230800
442,2B299,12.8,300000
443,34055,9.6,100000
444,34055,9.6,55000
445,66048,12.3,150000
446,66016,12.3,77000
447,2B140,11.4,98500
448,7018,8.0,240000
449,66192,6.9,80000
450,34235,9.6,396200
451,5164,7.5,60000
452,66190,12.1,535000
453,6103,7.9,323050
454,4193,4.2,81000
455,30154,9.3,65079
456,30169,11.0,85420
457,6049,8.5,72200
458,43171,8.3,100000
459,73235,9.1,74700
460,12168,9.55,100000
461,43155,8.3,50000
462,81163,10.05,50000
463,16061,11.1,150000
464,16255,10.9,70500
465,45015,10.8,150000
466,97410,16.7,50000
467,31573,13.0,100000
468,31085,9.9,60000
469,31222,9.9,120000
470,15156,9.4,60000
471,15149,8.6,60000
472,15113,7.6,100000
473,97415,14.7,96000
474,24465,12.0,55000
475,40167,12.1,60000
476,65045,10.1,300000
477,66069,11.4,100000
478,66016,12.3,200000
479,2A019,11.8,53000
480,6146,10.0,151250
481,2A041,14.1,84300
482,6077,7.8,79300
483,7153,9.5,213000
484,5038,5.7,233900
485,26354,9.05,55000
486,7141,9.0,124800
487,48165,8.2,60400
488,48020,8.5,199000
489,30190,9.3,239135
490,13039,11.1,53000
491,34237,11.0,185147
492,6074,7.8,233030
493,6157,13.2,61220
494,34103,11.0,67435
495,34183,11.1,80000
496,2B185,12.3,75000
497,13039,11.1,184270
498,34135,11.8,80000
499,2B123,12.6,280000
500,13098,12.0,143400
501,83101,12.7,156400
502,4020,9.3,57500
503,5101,3.3,100300
504,6157,13.2,342850
505,34214,11.0,93500
506,5108,7.5,144800
507,66053,12.3,50000
508,2B314,8.9,260000
509,34031,11.8,62000
510,2B079,11.4,75000
511,2B290,12.6,62000
512,2B355,12.8,200000
513,34013,11.4,71800
514,4160,9.4,79300
515,48100,8.5,50000
516,6050,8.5,80370
517,2A103,12.9,130000
518,2A198,10.25,50000
519,2A323,11.8,210000
520,6156,7.9,99010
521,2A215,13.1,51400
522,2B009,13.3,613700
523,2B143,13.3,382800
524,13072,10.7,964000
525,6034,11.2,906980
526,6130,9.2,154930
527,30189,10.7,103558
528,30351,11.1,174628
529,4020,9.3,577600
530,4218,8.1,84100
531,34166,11.8,119550
532,66138,11.4,70000
533,66024,11.8,60000
534,13047,11.1,58200
535,34116,10.9,68876
536,13001,10.85,138100
537,13047,11.1,725200
538,26022,8.5,120000
539,2A249,12.4,160000
540,2A017,12.9,610000
541,2A001,12.9,57635
542,2A004,12.9,50000
543,34181,11.0,57370
544,66130,7.15,50000
545,66003,10.9,50000
546,83119,13.2,70000
547,13077,12.0,336300
548,2B123,12.6,150000
549,30081,11.1,194649
550,6101,8.2,89033
551,30258,10.85,100000
552,2B277,12.6,50000
553,7251,9.6,96000
554,34076,11.4,74920
555,4024,9.3,216100
556,2B039,11.4,108333
557,4171,9.1,135600
558,84084,9.8,660000
559,84050,10.0,180300
560,34341,11.9,52321
561,4070,9.3,115700
562,30105,8.4,100000
563,83061,10.35,347000
564,2B292,10.9,210500
565,2B292,10.9,255700
566,2B143,13.3,400000
567,13073,10.4,108900
568,34096,10.5,70466
569,7086,10.5,80000
570,26116,11.2,71000
571,2A345,11.8,77000
572,2A139,12.2,110400
573,34181,11.0,437143
574,13055,11.7,55000
575,6050,8.5,54150
576,34145,12.3,193045
577,34235,9.6,447964
578,2B079,11.4,99100
579,6077,7.8,116600
580,2B301,8.9,80000
581,83142,9.1,300000
582,34211,10.5,53170
583,34281,10.95,846900
584,34170,11.0,523700
585,6066,9.0,125140
586,34213,11.9,100530
587,2B116,10.9,97000
588,4008,7.7,208400
589,4148,7.7,120000
590,48008,7.3,135000
591,4120,4.3,767100
592,30085,11.1,110000
593,7139,9.6,133000
594,13038,11.4,223600
595,4023,8.7,398600
596,4139,10.9,152300
597,26123,8.5,68000
598,66014,11.4,180000
599,48130,8.5,168600
600,48096,8.4,147400
601,66066,6.85,60000
602,66011,11.8,350000
603,66108,10.95,50000
604,12076,9.65,120000
605,43082,8.3,76568
606,46176,10.4,70000
607,23062,10.75,300000
608,12025,10.6,50000
