id,commune,code_INSEE,surface_parcourue_m2,annee,mois,jour,heure,nature_inc_prim,nature_inc_sec
302,Zilia,2B361,322405,2015,Jul,30,10,Accidentelle,NA
303,Roujan,34237,78000,2015,Jul,25,12,Accidentelle,NA
304,Saint-AndrÃ©-de-Valborgne,30231,934600,2015,Jul,30,15,Malveillance,NA
305,QuÃ©zac,48122,56500,2015,Jul,1,8,Involontaire,travaux
306,Hures-la-Parade,48074,161000,2015,Jul,31,15,Involontaire,travaux
307,Saint-Bauzille-de-Montmel,34242,590000,2015,Aug,8,14,Accidentelle,NA
308,FrÃ©jus,83061,167300,2015,Jul,27,13,Malveillance,NA
309,Felluns,66076,50000,2015,Jun,25,16,Involontaire,particulier
310,Tautavel,66205,80000,2015,Jul,14,16,Malveillance,NA
311,TrÃ©villach,66215,350000,2015,Jul,20,16,Malveillance,NA
312,Corneilla-la-RiviÃ¨re,66058,270000,2015,Jul,21,11,Accidentelle,NA
313,Perpignan,66136,50000,2015,Jul,28,17,Malveillance,NA
314,Tautavel,66205,60000,2015,Jul,29,17,Malveillance,NA
315,Villelaure,84147,70000,2015,Aug,6,19,Involontaire,particulier
316,Castifao,2B080,56360,2015,Aug,8,15,Malveillance,NA
317,Siran,34302,185000,2015,Aug,12,13,Malveillance,NA
318,Calce,66030,82600,2015,Aug,19,14,Malveillance,NA
319,Aubagne,13005,92700,2015,Aug,17,16,Malveillance,NA
320,Bilia,2A038,50400,2015,Aug,7,13,Malveillance,NA
321,TrÃ©villach,66215,200000,2015,Aug,20,13,Malveillance,NA
322,Azillanet,34020,61000,2015,Aug,19,18,Malveillance,NA
323,Venaco,2B341,480000,2015,Aug,17,14,Involontaire,particulier
324,ArgelÃ¨s-sur-Mer,66008,141500,2015,Jun,26,18,Accidentelle,NA
325,Laure-Minervois,11198,58800,2015,Aug,18,19,Accidentelle,NA
326,Azille,11022,250700,2015,Aug,26,15,Malveillance,NA
327,Opoul-PÃ©rillos,66127,80000,2015,Sep,1,23,Involontaire,particulier
328,Volpajola,2B355,194784,2015,Sep,5,13,Malveillance,NA
329,Arquettes-en-Val,11016,187100,2015,Sep,11,12,Malveillance,NA
330,Baixas,66014,80000,2015,Mar,13,12,Involontaire,travaux
331,Alzon,30009,90800,2015,Mar,7,7,Involontaire,travaux
332,Alzon,30009,61500,2015,Mar,9,19,Involontaire,travaux
333,Corte,2B096,115000,2015,Sep,26,16,Malveillance,NA
334,Arzens,11018,52900,2015,Sep,25,16,Malveillance,NA
335,La Brigue,6162,217500,2015,Mar,12,9,Involontaire,travaux
336,Peyriac-de-Mer,11285,55873,2015,Oct,16,14,Accidentelle,NA
337,Paziols,11276,50802,2015,Oct,16,15,Involontaire,travaux
338,Villespassans,34339,121500,2015,Jan,11,14,Malveillance,NA
339,Labastide-sur-BÃ©sorgues,7112,380000,2015,Nov,20,13,Involontaire,particulier
340,Bastelica,2A031,339000,2015,Aug,30,12,Malveillance,NA
341,Le Pont-de-Montvert,48116,648000,2015,Mar,11,12,Involontaire,travaux
342,BÃ©douÃ¨s,48022,138000,2015,Mar,9,13,Involontaire,travaux
343,Saint-Pierre,4194,204800,2015,Apr,1,12,Involontaire,particulier
344,Lantosque,6074,178700,2015,Apr,2,12,Malveillance,NA
345,RoquebilliÃ¨re,6103,387400,2015,Apr,3,17,Malveillance,NA
346,Saint-Pierreville,7286,300000,2015,Apr,10,11,Involontaire,travaux
347,Valle-di-Rostino,2B337,53361,2015,Apr,13,13,Involontaire,travaux
348,Lantosque,6074,73100,2015,Jan,4,12,Malveillance,NA
349,Lantosque,6074,82100,2015,Jan,12,18,Malveillance,NA
350,Saorge,6132,89200,2015,Apr,11,14,Malveillance,NA
351,Breil-sur-Roya,6023,59500,2015,Apr,11,15,Malveillance,NA
352,RoquebilliÃ¨re,6103,102300,2015,Apr,15,13,Malveillance,NA
353,Die,26113,73000,2015,Mar,13,13,Involontaire,particulier
354,Murasson,12163,200000,2016,Feb,21,18,Malveillance,NA
355,Couvertoirade (La),12082,70000,2016,Jul,19,9,Involontaire,travaux
356,Conques-en-Rouergue,12076,50000,2016,Aug,15,16,Accidentelle,NA
357,Marcilhac-sur-CÃ©lÃ©,46183,220000,2016,Aug,16,21,Naturelle,NA
358,Saint-Laurent,18219,93300,2016,Aug,11,16,Accidentelle,NA
359,CaucaliÃ¨res,81066,800000,2016,Sep,5,15,Accidentelle,NA
360,ColmÃ©ry,58081,80000,2016,Aug,30,12,Malveillance,NA
361,Bedenac,17038,104100,2016,Aug,16,18,Malveillance,NA
362,Bussac-ForÃªt,17074,52600,2016,Sep,12,15,Malveillance,NA
363,ClÃ©rac,17110,220000,2016,Sep,12,16,Malveillance,NA
364,Saint-Caprais-de-Lerm,47234,50050,2016,Sep,13,19,Involontaire,travaux
365,Martignas-sur-Jalle,33273,80000,2016,Sep,8,15,Accidentelle,NA
366,Ogliastro,2B183,60000,2016,Mar,31,12,Malveillance,NA
367,Sisco,2B281,200000,2016,Apr,2,18,Malveillance,NA
368,Farinole,2B109,50000,2016,Apr,1,21,Malveillance,NA
369,TouÃ«t-de-l'EscarÃ¨ne,6142,107161,2016,Mar,26,14,Involontaire,particulier
370,Cans et CÃ©vennes,48166,104100,2016,Mar,26,14,Involontaire,particulier
371,Vialas,48194,151100,2016,Mar,26,14,Involontaire,travaux
372,Caumont-sur-Durance,84034,200000,2016,Mar,23,12,Malveillance,NA
373,Puget-Rostang,6098,60324,2016,Apr,12,10,Involontaire,particulier
374,Lantosque,6074,131743,2016,Apr,12,15,Malveillance,NA
375,Meria,2B159,83700,2016,Apr,18,19,Malveillance,NA
376,San-Nicolao,2B313,90000,2016,Apr,18,21,Malveillance,NA
377,FontÃ¨s,34103,140300,2016,Apr,19,13,Malveillance,NA
378,Agel,34004,142600,2016,May,5,12,Involontaire,particulier
379,SabliÃ¨res,7202,200000,2016,Mar,15,17,Involontaire,travaux
380,Lantosque,6074,62601,2016,May,28,22,Malveillance,NA
381,Montblanc,34166,425000,2016,Jun,27,15,Involontaire,particulier
382,Laure-Minervois,11198,140300,2016,Jun,30,17,Malveillance,NA
383,Corte,2B096,248000,2016,Jun,27,14,Involontaire,particulier
384,PlanÃ¨zes,66143,600000,2016,Jun,21,16,Involontaire,travaux
385,Calce,66030,50000,2016,Jun,25,11,Malveillance,NA
386,Calce,66030,200000,2016,Jul,5,4,Accidentelle,NA
387,PÃ©zilla-la-RiviÃ¨re,66140,150000,2016,Jul,5,12,Accidentelle,NA
388,Raissac-sur-Lampy,11308,144520,2016,Jul,7,12,Involontaire,travaux
389,Paraza,11273,185068,2016,Jul,14,21,Malveillance,NA
390,Conques-sur-Orbiel,11099,829689,2016,Jul,16,16,Accidentelle,NA
391,HyÃ¨res,83069,73000,2016,Jul,14,18,Involontaire,particulier
392,GarÃ©oult,83064,75000,2016,Jul,15,16,Involontaire,particulier
393,Linguizzetta,2B143,80000,2016,Jul,15,17,Malveillance,NA
394,ChÃ¢teauneuf-les-Martigues,13026,1000000,2016,Jul,13,21,Malveillance,NA
395,Martigues,13056,460000,2016,Jul,15,19,Malveillance,NA
396,BÃ©ziers,34032,87000,2016,Jul,13,12,Involontaire,particulier
397,Puisserguier,34225,51500,2016,Jul,19,14,Accidentelle,NA
398,Volpajola,2B355,464200,2016,Jul,19,21,Malveillance,NA
399,Saint-Laurent-de-la-Salanque,66180,100000,2016,Jul,13,14,Involontaire,particulier
400,Estagel,66071,150000,2016,Jul,16,15,Malveillance,NA
401,Fitou,11144,121304,2016,Jul,17,19,Involontaire,particulier
402,Altier,48004,229000,2016,Apr,20,11,Involontaire,particulier
403,Narbonne,11262,324079,2016,Jan,15,22,Malveillance,NA
404,Lunel,34145,51700,2016,Jun,27,14,Accidentelle,NA
405,Montarnaud,34163,127500,2016,Jul,10,12,Involontaire,particulier
406,ThÃ©zan-des-CorbiÃ¨res,11390,102861,2016,Feb,5,16,Involontaire,travaux
407,Tallone,2B320,51000,2016,Aug,2,11,Malveillance,NA
408,Maraussan,34148,101700,2016,Aug,5,14,Malveillance,NA
409,AlÃ©ria,2B009,66000,2016,Aug,6,14,Malveillance,NA
410,Oletta,2B185,97300,2016,Aug,7,10,Malveillance,NA
411,Maureillas-las-Illas,66106,400000,2016,Jul,18,12,Involontaire,particulier
412,Montmirat,30181,52692,2016,Aug,10,13,Malveillance,NA
413,Laudun-l'Ardoise,30141,102268,2016,Aug,11,16,Involontaire,travaux
414,Generville,11162,74533,2016,Aug,2,16,Involontaire,travaux
415,Saint-Pons-de-Mauchiens,34285,287500,2016,Aug,10,16,Malveillance,NA
416,Azille,11022,90908,2016,Aug,10,20,Malveillance,NA
417,Rivesaltes,66164,500000,2016,Jul,27,14,Involontaire,particulier
418,Tautavel,66205,331900,2016,Aug,1,17,Malveillance,NA
419,Torreilles,66212,150000,2016,Aug,6,18,Malveillance,NA
420,ArgelÃ¨s-sur-Mer,66008,50000,2016,Aug,13,15,Malveillance,NA
421,Fontcouverte,11148,211482,2016,Aug,21,14,Accidentelle,NA
422,Saint-Papoul,11361,52980,2016,Aug,21,16,Involontaire,travaux
423,Prunelli-di-Fiumorbo,2B251,399600,2016,Aug,8,13,Malveillance,NA
424,Aix-en-Provence,13001,414600,2016,Aug,1,15,Malveillance,NA
425,Calce,66030,90000,2016,Aug,22,8,Malveillance,NA
426,Martigues,13056,57600,2016,Aug,1,19,Malveillance,NA
427,Coudoux,13118,50900,2016,Aug,6,15,Involontaire,particulier
428,Saint-Martin-de-Crau,13097,166400,2016,Aug,6,22,Malveillance,NA
429,Erbajolo,2B105,80000,2016,Aug,24,10,Malveillance,NA
430,Poggio-di-Venaco,2B238,340039,2016,Aug,24,11,Malveillance,NA
431,AlÃ©ria,2B009,88000,2016,Aug,26,12,Malveillance,NA
432,Corte,2B096,784900,2016,Aug,22,14,Malveillance,NA
433,Lucciana,2B148,100135,2016,Aug,25,14,Malveillance,NA
434,Focicchia,2B116,263500,2016,Aug,25,14,Malveillance,NA
435,Caromb,84030,80000,2016,Aug,27,16,Malveillance,NA
436,Lucciana,2B148,53500,2016,Aug,26,11,Involontaire,particulier
437,Cers,34073,67600,2016,Sep,5,12,Accidentelle,NA
438,Peyriac-Minervois,11286,263087,2016,Sep,5,23,Malveillance,NA
439,Villalier,11410,107055,2016,Sep,7,15,Involontaire,particulier
440,Calce,66030,80000,2016,Sep,9,14,Malveillance,NA
441,Saint-Vincent-d'Olargues,34291,230800,2016,Sep,11,1,Malveillance,NA
442,San-Gavino-d'Ampugnani,2B299,300000,2016,Jan,11,20,Involontaire,travaux
443,Castanet-le-Haut,34055,100000,2016,Sep,23,10,Involontaire,travaux
444,Castanet-le-Haut,34055,55000,2016,Sep,24,8,Involontaire,travaux
445,CerbÃ¨re,66048,150000,2016,Mar,8,13,Involontaire,travaux
446,Banyuls-sur-Mer,66016,77000,2016,Sep,24,15,Involontaire,particulier
447,Lento,2B140,98500,2016,Sep,28,12,Malveillance,NA
448,Astet,7018,240000,2016,Sep,24,22,Malveillance,NA
449,Sauto,66192,80000,2016,Sep,28,14,Involontaire,particulier
450,Rosis,34235,396200,2016,Oct,10,13,Malveillance,NA
451,Savines-le-Lac,5164,60000,2016,Dec,1,11,Involontaire,particulier
452,Salses-le-ChÃ¢teau,66190,535000,2016,Oct,11,11,Involontaire,travaux
453,RoquebilliÃ¨re,6103,323050,2016,Dec,29,13,Malveillance,NA
454,Saint-Paul-sur-Ubaye,4193,81000,2016,Dec,27,13,Involontaire,particulier
455,Mandagout,30154,65079,2016,Mar,24,11,Involontaire,travaux
456,Milhaud,30169,85420,2016,Sep,8,11,Malveillance,NA
457,Courmes,6049,72200,2016,Mar,9,15,Malveillance,NA
458,Saint-BÃ©rain,43171,100000,2017,Feb,23,15,Involontaire,particulier
459,Saint-FranÃ§ois-Longchamp,73235,74700,2017,Feb,23,16,Involontaire,particulier
460,Nant,12168,100000,2017,Mar,16,13,Accidentelle,NA
461,Prades,43155,50000,2017,Aug,14,22,Involontaire,particulier
462,Mazamet,81163,50000,2017,Aug,29,23,Malveillance,NA
463,Brie,16061,150000,2017,Jun,24,13,Involontaire,travaux
464,Parzac,16255,70500,2017,Jun,18,12,Involontaire,travaux
465,Autruy-sur-Juine,45015,150000,2017,Jul,21,13,Involontaire,travaux
466,Saint-BenoÃ®t,97410,50000,2017,Sep,16,9,Malveillance,NA
467,Verfeil,31573,100000,2017,Jul,18,17,Accidentelle,NA
468,Boutx,31085,60000,2017,Jan,7,13,Involontaire,travaux
469,Gouaux-de-Luchon,31222,120000,2017,Apr,22,16,Accidentelle,NA
470,Prunet,15156,60000,2017,Apr,8,16,Involontaire,travaux
471,Paulhenc,15149,60000,2017,Apr,16,12,Involontaire,travaux
472,Mandailles-Saint-Julien,15113,100000,2017,Apr,24,16,Involontaire,travaux
473,Saint-Paul,97415,96000,2017,Nov,3,4,Malveillance,NA
474,Saint-Michel-de-Double,24465,55000,2017,Apr,21,17,Involontaire,travaux
475,Luxey,40167,60000,2017,Feb,21,14,Involontaire,particulier
476,Aucun,65045,300000,2017,Mar,17,13,Involontaire,travaux
477,Espira-de-l'Agly,66069,100000,2017,Oct,12,12,Involontaire,travaux
478,Banyuls-sur-Mer,66016,200000,2017,Nov,6,11,Accidentelle,NA
479,Arbori,2A019,53000,2017,Apr,1,19,Malveillance,NA
480,Tournefort,6146,151250,2017,Apr,7,13,Malveillance,NA
481,Bonifacio,2A041,84300,2017,Sep,13,22,Accidentelle,NA
482,LucÃ©ram,6077,79300,2017,Jan,6,11,Involontaire,travaux
483,Mayres,7153,213000,2017,Mar,21,17,Malveillance,NA
484,ChÃ¢teau-Ville-Vieille,5038,233900,2017,Apr,25,13,Malveillance,NA
485,Treschenu-Creyers,26354,55000,2017,Apr,24,12,Involontaire,particulier
486,LentillÃ¨res,7141,124800,2017,Apr,15,20,Malveillance,NA
487,Saint-Laurent-de-Muret,48165,60400,2017,Feb,26,14,Involontaire,travaux
488,Bassurels,48020,199000,2017,Feb,26,15,Involontaire,travaux
489,Notre-Dame-de-la-RouviÃ¨re,30190,239135,2017,Apr,19,12,Involontaire,travaux
490,Fos-sur-Mer,13039,53000,2017,Jun,6,19,Malveillance,NA
491,Roujan,34237,185147,2017,Jun,11,10,Involontaire,particulier
492,Lantosque,6074,233030,2017,Jan,13,17,Malveillance,NA
493,Vence,6157,61220,2017,Jan,25,14,Involontaire,travaux
494,FontÃ¨s,34103,67435,2017,Jun,24,22,Malveillance,NA
495,Nissan-lez-Enserune,34183,80000,2017,Jun,25,12,Involontaire,particulier
496,Oletta,2B185,75000,2017,Jun,24,11,Malveillance,NA
497,Fos-sur-Mer,13039,184270,2017,Jun,24,15,Malveillance,NA
498,Lespignan,34135,80000,2017,Jun,25,18,Accidentelle,NA
499,Ghisonaccia,2B123,280000,2017,Jun,28,16,Malveillance,NA
500,Saint-Mitre-les-Remparts,13098,143400,2017,Jun,30,16,Malveillance,NA
501,Ramatuelle,83101,156400,2017,Jun,7,13,Involontaire,travaux
502,Barles,4020,57500,2017,Feb,16,11,Involontaire,particulier
503,Pelvoux,5101,100300,2017,Jan,5,13,Involontaire,particulier
504,Vence,6157,342850,2017,Jul,3,17,Accidentelle,NA
505,Pouzolles,34214,93500,2017,Jul,6,12,Malveillance,NA
506,Puy-Saint-EusÃ¨be,5108,144800,2017,Feb,23,15,Involontaire,particulier
507,Collioure,66053,50000,2017,Jun,19,18,Involontaire,particulier
508,Santo-Pietro-di-Tenda,2B314,260000,2017,Jul,6,15,Accidentelle,NA
509,Bessan,34031,62000,2017,Jul,11,16,Malveillance,NA
510,Castello-di-Rostino,2B079,75000,2017,Jul,17,11,Malveillance,NA
511,Speloncato,2B290,62000,2017,Jul,17,13,Malveillance,NA
512,Volpajola,2B355,200000,2017,Jul,17,14,Involontaire,particulier
513,Aspiran,34013,71800,2017,Jul,13,11,Involontaire,travaux
514,Reillanne,4160,79300,2017,Jul,18,14,Involontaire,travaux
515,Montbel,48100,50000,2017,Jan,7,15,Involontaire,travaux
516,Coursegoules,6050,80370,2017,Feb,21,14,Malveillance,NA
517,Cuttoli-Corticchiato,2A103,130000,2017,Jun,22,14,Involontaire,particulier
518,Ota,2A198,50000,2017,Jul,8,10,Malveillance,NA
519,Tavaco,2A323,210000,2017,Jul,8,12,Malveillance,NA
520,Venanson,6156,99010,2017,Feb,26,10,Involontaire,particulier
521,Pianottoli-Caldarello,2A215,51400,2017,Jul,16,13,Accidentelle,NA
522,AlÃ©ria,2B009,613700,2017,Jul,24,10,Malveillance,NA
523,Linguizzetta,2B143,382800,2017,Jul,24,16,Malveillance,NA
524,Peynier,13072,964000,2017,Jul,26,10,Involontaire,particulier
525,Castagniers,6034,906980,2017,Jul,17,14,Involontaire,particulier
526,Saint-Vallier-de-Thiey,6130,154930,2017,Jul,24,15,Malveillance,NA
527,NÃ®mes,30189,103558,2017,Jul,25,14,Malveillance,NA
528,Villeneuve-lÃ¨s-Avignon,30351,174628,2017,Jul,26,14,Malveillance,NA
529,Barles,4020,577600,2017,Feb,25,13,Involontaire,particulier
530,Thorame-Basse,4218,84100,2017,Feb,25,16,Involontaire,travaux
531,Montblanc,34166,119550,2017,Jul,24,12,Malveillance,NA
532,Peyrestortes,66138,70000,2017,Jul,17,14,Malveillance,NA
533,Boulou (Le),66024,60000,2017,Jul,18,17,Involontaire,particulier
534,Istres,13047,58200,2017,Jul,31,15,Malveillance,NA
535,Grabels,34116,68876,2017,Jul,28,14,Malveillance,NA
536,Aix-en-Provence,13001,138100,2017,Aug,1,14,Involontaire,particulier
537,Istres,13047,725200,2017,Aug,1,14,Malveillance,NA
538,Ballons,26022,120000,2017,Jul,17,15,Involontaire,travaux
539,Propriano,2A249,160000,2017,Jul,25,10,Malveillance,NA
540,Appietto,2A017,610000,2017,Aug,2,12,Malveillance,NA
541,Afa,2A001,57635,2017,Aug,2,13,Malveillance,NA
542,Ajaccio,2A004,50000,2017,Aug,4,11,Involontaire,particulier
543,NeffiÃ¨s,34181,57370,2017,Aug,5,17,Involontaire,particulier
544,OssÃ©ja,66130,50000,2017,Feb,16,16,Involontaire,travaux
545,AmÃ©lie-les-Bains-Palalda,66003,50000,2017,Feb,22,14,Malveillance,NA
546,Saint-Tropez,83119,70000,2017,Jul,24,21,Involontaire,particulier
547,Port-de-Bouc,13077,336300,2017,Aug,10,18,Malveillance,NA
548,Ghisonaccia,2B123,150000,2017,Mar,7,12,Malveillance,NA
549,Chusclan,30081,194649,2017,Aug,12,12,Involontaire,travaux
550,Rigaud,6101,89033,2017,Aug,3,11,Involontaire,travaux
551,Saint-Gilles,30258,100000,2017,Aug,15,16,Involontaire,travaux
552,Serra-di-Fiumorbo,2B277,50000,2017,Aug,11,11,Malveillance,NA
553,Saint-Joseph-des-Bancs,7251,96000,2017,Jan,7,15,Malveillance,NA
554,Ceyras,34076,74920,2017,Aug,20,19,Malveillance,NA
555,Beaujeu,4024,216100,2017,Feb,22,15,Involontaire,travaux
556,Bisinchi,2B039,108333,2017,Aug,21,12,Malveillance,NA
557,Rougon,4171,135600,2017,Aug,11,8,Accidentelle,NA
558,Motte-d'Aigues (La),84084,660000,2017,Aug,11,17,Malveillance,NA
559,Gordes,84050,180300,2017,Aug,13,16,Accidentelle,NA
560,Villeveyrac,34341,52321,2017,Jan,21,23,Involontaire,travaux
561,Digne-les-Bains,4070,115700,2017,Aug,23,16,Malveillance,NA
562,Dourbies,30105,100000,2017,Aug,29,12,Malveillance,NA
563,FrÃ©jus,83061,347000,2017,Sep,1,16,Involontaire,particulier
564,Sant'AndrÃ©a-di-Bozio,2B292,210500,2017,Sep,2,12,Malveillance,NA
565,Sant'AndrÃ©a-di-Bozio,2B292,255700,2017,Sep,2,12,Malveillance,NA
566,Linguizzetta,2B143,400000,2017,Sep,2,16,Malveillance,NA
567,Peypin,13073,108900,2017,Sep,3,1,Malveillance,NA
568,FaugÃ¨res,34096,70466,2017,Sep,2,1,Malveillance,NA
569,Ã‰tables,7086,80000,2017,Aug,26,17,Involontaire,travaux
570,DonzÃ¨re,26116,71000,2017,Sep,6,14,Involontaire,travaux
571,Vero,2A345,77000,2017,Aug,17,14,Malveillance,NA
572,Lecci,2A139,110400,2017,Aug,20,3,Malveillance,NA
573,NeffiÃ¨s,34181,437143,2017,Sep,6,18,Malveillance,NA
574,Marseille,13055,55000,2017,Jul,24,15,Malveillance,NA
575,Coursegoules,6050,54150,2017,Sep,17,10,Involontaire,particulier
576,Lunel,34145,193045,2017,Sep,11,15,Involontaire,particulier
577,Rosis,34235,447964,2017,Sep,12,18,Malveillance,NA
578,Castello-di-Rostino,2B079,99100,2017,Sep,21,15,Malveillance,NA
579,LucÃ©ram,6077,116600,2017,Sep,20,19,Naturelle,NA
580,San-Gavino-di-Tenda,2B301,80000,2017,Sep,26,12,Malveillance,NA
581,Trigance,83142,300000,2017,Oct,8,14,Accidentelle,NA
582,Poujol-sur-Orb (Le),34211,53170,2017,Oct,5,14,Involontaire,travaux
583,Saint-Pargoire,34281,846900,2017,Oct,6,5,Malveillance,NA
584,Montouliers,34170,523700,2017,Oct,7,13,Involontaire,particulier
585,Gilette,6066,125140,2017,Oct,7,6,Involontaire,particulier
586,Poussan,34213,100530,2017,Oct,8,16,Involontaire,particulier
587,Focicchia,2B116,97000,2017,Oct,17,15,Malveillance,NA
588,Annot,4008,208400,2017,Sep,17,12,Accidentelle,NA
589,Peyroules,4148,120000,2017,Sep,22,13,Malveillance,NA
590,Arzenc-de-Randon,48008,135000,2017,Mar,16,11,Involontaire,travaux
591,Val d'Oronaye,4120,767100,2017,Oct,5,13,Involontaire,travaux
592,Collias,30085,110000,2017,Jun,23,16,Accidentelle,NA
593,Laviolle,7139,133000,2017,Mar,18,14,Involontaire,travaux
594,Fontvieille,13038,223600,2017,Oct,24,15,Involontaire,travaux
595,Bayons,4023,398600,2017,Mar,17,11,Involontaire,particulier
596,Noyers-sur-Jabron,4139,152300,2017,Mar,17,19,Involontaire,travaux
597,Establet,26123,68000,2017,Oct,29,13,Involontaire,particulier
598,Baixas,66014,180000,2017,Aug,7,13,Involontaire,travaux
599,Rousses,48130,168600,2017,Aug,21,14,Involontaire,particulier
600,Meyrueis,48096,147400,2017,Aug,5,15,Malveillance,NA
601,Enveitg,66066,60000,2017,Mar,15,17,Involontaire,travaux
602,Bages,66011,350000,2017,Sep,2,12,Malveillance,NA
603,Millas,66108,50000,2017,Sep,5,14,Involontaire,travaux
604,Conques-en-Rouergue,12076,120000,2018,Feb,27,14,Malveillance,NA
