id,code_INSEE,annee,mois,jour,heure,tmax_med
1,1037,2019,Feb,28,16,17.7
2,11009,2015,Jul,10,15,18.7
3,11016,2015,Sep,11,12,18.5
4,11018,2015,Sep,25,16,17.9
5,11022,2015,Aug,26,15,19.5
6,11022,2016,Aug,10,20,19.5
7,11069,2012,Jul,21,17,17.9
8,11095,2022,Aug,29,12,19.4
9,11097,2012,Jul,13,15,19.4
10,11099,2016,Jul,16,16,17.9
11,11122,2013,Aug,9,16,19.4
12,11132,2022,Nov,20,14,19.6
13,11144,2016,Jul,17,19,25.2
14,11148,2016,Aug,21,14,19.6
15,11162,2016,Aug,2,16,23.8
16,11170,2015,Jun,7,15,20.8
17,11198,2015,Aug,18,19,17.5
18,11198,2016,Jun,30,17,17.5
19,11251,2012,Feb,29,13,18.5
20,11259,2015,Jul,13,14,18.7
21,11260,2014,Sep,1,14,16.3
22,11262,2012,Aug,9,16,18.6
23,11262,2013,Sep,19,12,18.6
24,11262,2016,Jan,15,22,18.6
25,11265,2012,Mar,29,13,14.0
26,11269,2013,Mar,15,10,20.5
27,11273,2016,Jul,14,21,19.5
28,11276,2015,Oct,16,15,17.65
29,11285,2012,Aug,13,16,19.1
30,11285,2015,Oct,16,14,19.1
31,11286,2016,Sep,5,23,17.5
32,11296,2014,May,30,12,19.5
33,11308,2016,Jul,7,12,18.7
34,11315,2015,Jun,27,10,19.5
35,11351,2014,Jun,29,14,19.6
36,11361,2016,Aug,21,16,17.2
37,11386,2015,Jul,8,4,19.4
38,11390,2016,Feb,5,16,19.6
39,11396,2012,Jul,19,11,17.5
40,11397,2012,Sep,14,13,18.5
41,11410,2016,Sep,7,15,17.5
42,12003,2022,Aug,8,13,17.5
43,12025,2018,Aug,9,11,16.6
44,12037,2022,Sep,22,15,14.3
45,12076,2016,Aug,15,16,14.6
46,12076,2018,Feb,27,14,14.6
47,12082,2016,Jul,19,9,15.7
48,12090,2019,Jul,12,15,15.3
49,12094,2015,Feb,10,14,18.9
50,12094,2021,Feb,22,1,18.9
51,12096,2012,Mar,23,19,16.0
52,12099,2012,Mar,1,16,14.8
53,12130,2012,Mar,28,12,17.5
54,12147,2012,Mar,14,15,14.8
55,12155,2021,Mar,30,15,15.3
56,12163,2016,Feb,21,18,16.6
57,12163,2022,Jun,19,17,16.6
58,12168,2017,Mar,16,13,14.4
59,12225,2022,Mar,28,13,14.6
60,12226,2015,Mar,11,13,18.9
61,12228,2018,Jul,9,16,17.0
62,12240,2012,Mar,2,14,15.0
63,12275,2013,Jul,13,13,14.8
64,12291,2022,Jun,15,15,14.6
65,13001,2012,Jul,23,15,19.4
66,13001,2016,Aug,1,15,19.4
67,13001,2017,Aug,1,14,19.4
68,13002,2013,Oct,22,19,17.8
69,13005,2015,Aug,17,16,20.7
70,13005,2020,Aug,4,17,20.7
71,13005,2022,Mar,26,15,20.7
72,13007,2021,Apr,6,16,21.1
73,13019,2022,Aug,2,16,19.4
74,13026,2016,Jul,13,21,19.4
75,13033,2020,Sep,19,19,19.4
76,13038,2017,Oct,24,15,20.2
77,13039,2017,Jun,6,19,19.3
78,13039,2017,Jun,24,15,19.3
79,13044,2022,Jun,9,16,19.3
80,13047,2017,Aug,1,14,19.3
81,13047,2017,Jul,31,15,19.3
82,13055,2017,Jul,24,15,19.8
83,13056,2016,Aug,1,19,18.8
84,13056,2016,Jul,15,19,18.8
85,13056,2021,Jul,16,16,18.8
86,13056,2022,Jul,8,16,18.8
87,13065,2013,Dec,6,18,20.2
88,13067,2012,Jul,16,18,18.9
89,13067,2022,Jun,15,13,18.9
90,13071,2018,Sep,23,6,19.4
91,13072,2017,Jul,26,10,20.5
92,13073,2017,Sep,3,1,20.5
93,13077,2017,Aug,10,18,19.4
94,13077,2020,Aug,4,16,19.4
95,13077,2020,Jun,26,11,19.4
96,13081,2020,Aug,5,16,20.5
97,13097,2016,Aug,6,22,19.95
98,13097,2022,Aug,22,15,19.95
99,13098,2017,Jun,30,16,19.4
100,13098,2022,Jul,8,2,19.4
101,13103,2019,Aug,14,22,19.3
102,13106,2019,Sep,5,17,19.2
103,13106,2022,Jul,31,16,19.2
104,13112,2012,Sep,13,17,20.5
105,13112,2022,Jul,3,16,20.5
106,13117,2019,Jul,10,18,19.4
107,13117,2020,Aug,23,13,19.4
108,13117,2022,Jun,9,14,19.4
109,13118,2016,Aug,6,15,19.6
110,13118,2020,Aug,3,18,19.6
111,15015,2012,Mar,17,8,15.45
112,15029,2012,Mar,8,11,18.4
113,15038,2012,Mar,16,13,14.8
114,15038,2020,Apr,11,15,14.8
115,15045,2022,Feb,10,16,12.6
116,15081,2022,Jan,24,18,22.0
117,15083,2012,Mar,29,15,16.4
118,15095,2012,Feb,29,13,15.55
119,15106,2022,May,12,14,12.9
120,15113,2017,Apr,24,16,10.2
121,15149,2014,Mar,20,19,12.9
122,15149,2017,Apr,16,12,12.9
123,15156,2017,Apr,8,16,14.8
124,15166,2012,Mar,28,13,15.0
125,15187,2012,Mar,2,13,13.5
126,15205,2012,Mar,2,13,15.55
127,15207,2012,Apr,2,15,15.6
128,15229,2012,Mar,14,19,13.8
129,15250,2020,Aug,6,12,14.8
130,15251,2014,Mar,20,17,13.8
131,16061,2017,Jun,24,13,18.3
132,16255,2017,Jun,18,12,17.2
133,16384,2012,Jun,25,2,17.65
134,17038,2016,Aug,16,18,17.9
135,17074,2016,Sep,12,15,18.8
136,17110,2013,Jun,3,13,17.9
137,17110,2016,Sep,12,16,17.9
138,17240,2021,Apr,4,15,17.9
139,18219,2016,Aug,11,16,16.7
140,21037,2019,Apr,15,13,16.3
141,21309,2019,Jul,17,13,17.3
142,21582,2022,Mar,9,15,16.3
143,21694,2019,Jul,25,11,14.7
144,22233,2013,May,9,16,16.0
145,2305,2020,Jul,27,16,15.9
146,23062,2018,Oct,6,14,18.95
147,23067,2019,Sep,16,16,13.8
148,23067,2019,Sep,21,14,13.8
149,24165,2022,Aug,4,18,17.8
150,24165,2022,Aug,7,18,17.8
151,24218,2019,Mar,24,16,16.1
152,24222,2019,Apr,15,7,18.2
153,24263,2013,Mar,5,14,20.6
154,24273,2022,Aug,9,13,18.2
155,24294,2020,Sep,3,14,17.8
156,24354,2022,Aug,7,17,18.5
157,24465,2017,Apr,21,17,17.8
158,24485,2020,Jul,14,17,17.5
159,26022,2017,Jul,17,15,15.95
160,26113,2015,Mar,13,13,18.5
161,26116,2017,Sep,6,14,19.7
162,26123,2017,Oct,29,13,15.0
163,26146,2022,Jun,18,11,19.0
164,26200,2020,Jul,21,12,15.95
165,26295,2022,Jun,19,13,17.7
166,26300,2019,Feb,23,14,15.0
167,26318,2015,Jul,11,14,18.55
168,26354,2017,Apr,24,12,16.35
169,26367,2022,Jul,18,16,20.0
170,27209,2022,Aug,10,13,20.9
171,2A001,2017,Aug,2,13,19.75
172,2A004,2012,Aug,31,16,21.5
173,2A004,2012,Sep,2,16,21.5
174,2A004,2014,Sep,28,18,21.5
175,2A004,2017,Aug,4,11,21.5
176,2A004,2020,Aug,13,11,21.5
177,2A004,2021,Jun,25,15,21.5
178,2A006,2021,Jul,9,18,21.5
179,2A006,2021,Oct,10,12,21.5
180,2A017,2017,Aug,2,12,21.5
181,2A017,2020,Aug,13,16,21.5
182,2A017,2021,Jul,29,17,21.5
183,2A019,2017,Apr,1,19,19.65
184,2A024,2022,Feb,24,17,17.3
185,2A031,2015,Aug,30,12,16.5
186,2A031,2020,Jan,12,15,16.5
187,2A031,2022,Apr,13,12,16.5
188,2A031,2022,Jan,30,16,16.5
189,2A038,2015,Aug,7,13,20.6
190,2A041,2017,Sep,13,22,18.05
191,2A048,2014,Aug,30,13,19.65
192,2A048,2014,Jun,28,14,19.65
193,2A048,2019,Sep,10,11,19.65
194,2A099,2022,Aug,7,16,16.5
195,2A103,2017,Jun,22,14,19.0
196,2A117,2022,Mar,25,18,20.4
197,2A139,2012,Mar,10,14,20.6
198,2A139,2014,Sep,1,2,20.6
199,2A139,2017,Aug,20,3,20.6
200,2A198,2017,Jul,8,10,16.5
201,2A200,2021,Oct,23,16,16.5
202,2A209,2021,Aug,3,15,19.0
203,2A215,2017,Jul,16,13,20.5
204,2A249,2017,Jul,25,10,20.6
205,2A254,2014,Sep,27,12,17.3
206,2A269,2014,Aug,15,16,20.6
207,2A272,2014,Jun,28,14,19.8
208,2A272,2019,Jun,14,10,19.8
209,2A272,2019,Oct,9,14,19.8
210,2A284,2018,Apr,7,17,20.6
211,2A323,2017,Jul,8,12,19.0
212,2A323,2020,Nov,8,11,19.0
213,2A324,2012,Mar,10,13,17.35
214,2A326,2019,Feb,23,19,17.3
215,2A345,2017,Aug,17,14,19.0
216,2B002,2019,Jun,25,10,18.4
217,2B002,2020,Jun,5,14,18.4
218,2B007,2022,Feb,1,15,8.1
219,2B007,2022,Jul,28,16,8.1
220,2B009,2016,Aug,6,14,19.9
221,2B009,2016,Aug,26,12,19.9
222,2B009,2017,Jul,24,10,19.9
223,2B009,2018,Sep,1,14,19.9
224,2B009,2022,Jun,24,12,19.9
225,2B029,2022,Jun,12,11,17.0
226,2B030,2014,May,24,16,18.95
227,2B034,2013,Jun,23,16,19.0
228,2B034,2014,Jun,20,16,19.0
229,2B037,2014,Jul,22,13,17.0
230,2B039,2017,Aug,21,12,18.3
231,2B043,2013,Nov,9,20,18.7
232,2B046,2022,Apr,12,12,18.95
233,2B049,2012,Aug,4,15,20.3
234,2B049,2012,Mar,11,17,20.3
235,2B049,2013,Nov,3,12,20.3
236,2B049,2014,Oct,5,18,20.3
237,2B050,2019,Jul,8,11,20.3
238,2B051,2020,Oct,11,11,17.05
239,2B055,2018,Jan,28,12,18.3
240,2B055,2022,Oct,28,15,18.3
241,2B058,2012,Jun,23,15,18.95
242,2B058,2022,Apr,18,13,18.95
243,2B059,2015,Jul,19,16,21.6
244,2B063,2020,Feb,26,11,20.75
245,2B079,2012,Jul,13,12,18.3
246,2B079,2014,Sep,13,11,18.3
247,2B079,2015,Jul,10,12,18.3
248,2B079,2017,Jul,17,11,18.3
249,2B079,2017,Sep,21,15,18.3
250,2B079,2019,Aug,14,11,18.3
251,2B079,2020,Jul,13,11,18.3
252,2B079,2021,Oct,26,15,18.3
253,2B079,2022,Jul,24,14,18.3
254,2B080,2012,Jul,1,11,18.1
255,2B080,2015,Aug,8,15,18.1
256,2B095,2015,Jul,28,1,17.55
257,2B095,2022,Feb,11,14,17.55
258,2B096,2012,Jun,13,13,10.3
259,2B096,2015,Sep,26,16,10.3
260,2B096,2016,Aug,22,14,10.3
261,2B096,2016,Jun,27,14,10.3
262,2B105,2016,Aug,24,10,20.0
263,2B105,2019,Sep,17,12,20.0
264,2B109,2016,Apr,1,21,17.0
265,2B110,2012,Jul,13,13,20.0
266,2B112,2012,Jul,15,19,19.0
267,2B112,2020,Aug,3,23,19.0
268,2B116,2016,Aug,25,14,18.4
269,2B116,2017,Oct,17,15,18.4
270,2B123,2013,Aug,2,15,19.7
271,2B123,2013,Aug,20,12,19.7
272,2B123,2014,Aug,15,16,19.7
273,2B123,2015,Jun,3,14,19.7
274,2B123,2017,Jun,28,16,19.7
275,2B123,2017,Mar,7,12,19.7
276,2B123,2018,Jan,2,15,19.7
277,2B123,2018,Sep,1,13,19.7
278,2B123,2022,Jun,10,18,19.7
279,2B123,2022,Jun,21,11,19.7
280,2B135,2022,Jan,29,13,18.9
281,2B140,2016,Sep,28,12,21.6
282,2B143,2013,Sep,14,18,19.9
283,2B143,2015,Jul,7,13,19.9
284,2B143,2016,Jul,15,17,19.9
285,2B143,2017,Jul,24,16,19.9
286,2B143,2017,Sep,2,16,19.9
287,2B143,2019,Sep,13,14,19.9
288,2B143,2021,Aug,7,13,19.9
289,2B143,2021,Sep,7,14,19.9
290,2B143,2022,Jun,13,12,19.9
291,2B145,2020,Aug,8,6,20.75
292,2B145,2022,Feb,26,14,20.75
293,2B148,2016,Aug,25,14,19.5
294,2B148,2016,Aug,26,11,19.5
295,2B150,2021,Jul,5,8,20.3
296,2B159,2016,Apr,18,19,18.95
297,2B167,2013,Jul,12,11,20.3
298,2B167,2013,Oct,11,16,20.3
299,2B170,2014,Mar,10,12,18.7
300,2B183,2014,Jun,4,13,18.95
301,2B183,2016,Mar,31,12,18.95
302,2B184,2013,Nov,7,17,18.95
303,2B184,2022,Apr,16,16,18.95
304,2B185,2012,Aug,20,12,20.4
305,2B185,2012,Jul,12,10,20.4
306,2B185,2012,Jul,25,16,20.4
307,2B185,2012,Jul,30,12,20.4
308,2B185,2012,Jul,30,15,20.4
309,2B185,2013,Aug,4,12,20.4
310,2B185,2013,Jul,25,11,20.4
311,2B185,2013,Sep,17,7,20.4
312,2B185,2013,Sep,17,11,20.4
313,2B185,2015,Jul,1,11,20.4
314,2B185,2015,Jul,27,11,20.4
315,2B185,2016,Aug,7,10,20.4
316,2B185,2017,Jun,24,11,20.4
317,2B185,2019,Sep,8,12,20.4
318,2B185,2021,Jul,14,13,20.4
319,2B185,2022,Oct,5,14,20.4
320,2B187,2013,Sep,13,12,17.0
321,2B188,2013,Dec,31,14,20.4
322,2B188,2013,Oct,1,11,20.4
323,2B190,2021,Feb,26,14,19.0
324,2B192,2020,Feb,11,8,18.3
325,2B201,2015,Jul,2,12,18.4
326,2B201,2018,Jan,3,22,18.4
327,2B205,2013,Aug,25,16,17.0
328,2B207,2022,Feb,1,15,20.75
329,2B210,2022,Jan,12,9,20.75
330,2B213,2021,Jan,30,9,18.4
331,2B222,2019,Feb,24,10,17.05
332,2B223,2022,Mar,24,9,18.1
333,2B224,2020,Feb,10,14,18.95
334,2B235,2021,Mar,13,17,19.0
335,2B235,2022,Feb,24,14,19.0
336,2B238,2016,Aug,24,11,20.0
337,2B242,2020,Feb,10,18,20.75
338,2B251,2012,Jan,6,12,18.9
339,2B251,2016,Aug,8,13,18.9
340,2B275,2020,Sep,6,13,17.05
341,2B277,2017,Aug,11,11,18.9
342,2B281,2016,Apr,2,18,18.7
343,2B281,2019,Feb,23,13,18.7
344,2B283,2014,Aug,15,16,19.7
345,2B287,2013,Oct,4,10,18.4
346,2B287,2014,Oct,10,12,18.4
347,2B289,2021,Oct,25,15,20.3
348,2B290,2015,Jul,25,22,19.0
349,2B290,2017,Jul,17,13,19.0
350,2B290,2022,Feb,26,11,19.0
351,2B290,2022,Mar,12,10,19.0
352,2B292,2017,Sep,2,12,20.0
353,2B292,2022,Oct,22,13,20.0
354,2B292,2022,Oct,24,12,20.0
355,2B298,2013,Sep,17,7,20.4
356,2B299,2016,Jan,11,20,20.75
357,2B301,2017,Sep,26,12,18.4
358,2B301,2022,Apr,18,14,18.4
359,2B313,2016,Apr,18,21,20.75
360,2B314,2014,Jul,3,15,18.4
361,2B314,2014,Jul,5,14,18.4
362,2B314,2017,Jul,6,15,18.4
363,2B314,2022,Aug,1,8,18.4
364,2B314,2022,Jun,7,14,18.4
365,2B315,2020,Feb,2,11,20.0
366,2B316,2014,Aug,15,8,19.2
367,2B318,2018,Jan,3,21,20.75
368,2B320,2015,Jun,14,14,19.9
369,2B320,2016,Aug,2,11,19.9
370,2B333,2021,Mar,14,8,20.4
371,2B337,2013,Sep,4,14,33.65
372,2B337,2015,Apr,13,13,33.65
373,2B341,2015,Aug,17,14,16.3
374,2B341,2022,Jul,28,13,16.3
375,2B341,2022,Jun,23,1,16.3
376,2B343,2021,Dec,19,11,19.5
377,2B350,2013,Aug,20,11,18.3
378,2B350,2013,Jun,29,14,18.3
379,2B352,2022,Jun,26,13,19.0
380,2B354,2022,Jun,8,23,16.7
381,2B355,2015,Sep,5,13,18.3
382,2B355,2016,Jul,19,21,18.3
383,2B355,2017,Jul,17,14,18.3
384,2B355,2019,Oct,4,10,18.3
385,2B355,2021,Mar,31,12,18.3
386,2B355,2021,May,17,10,18.3
387,2B361,2015,Jul,30,10,20.3
388,30009,2015,Mar,7,7,16.6
389,30009,2015,Mar,9,19,16.6
390,30017,2020,Sep,4,13,16.6
391,30032,2013,Jul,17,13,20.2
392,30032,2013,Jul,23,21,20.2
393,30033,2013,Sep,1,10,19.7
394,3004,2015,Jul,16,15,16.25
395,30041,2022,Jun,13,15,19.1
396,30042,2018,Aug,4,17,19.2
397,3006,2015,Jul,17,17,15.9
398,30062,2012,Apr,2,14,20.4
399,30081,2017,Aug,12,12,20.1
400,30085,2017,Jun,23,16,18.6
401,30089,2020,Jul,5,9,20.2
402,30090,2012,Feb,9,12,16.4
403,30091,2014,May,13,14,20.4
404,30093,2019,Aug,31,16,20.7
405,30105,2014,Apr,7,23,13.15
406,30105,2017,Aug,29,12,13.15
407,30129,2020,Jul,19,16,19.2
408,30141,2016,Aug,11,16,20.1
409,30145,2022,Jun,13,14,18.6
410,30154,2016,Mar,24,11,18.0
411,30169,2016,Sep,8,11,19.3
412,30169,2020,Aug,1,15,19.3
413,30169,2022,Jul,8,0,19.3
414,30181,2016,Aug,10,13,19.6
415,30189,2017,Jul,25,14,19.5
416,30190,2017,Apr,19,12,17.9
417,30190,2019,Sep,5,13,17.9
418,30193,2021,Jul,9,15,21.2
419,30231,2015,Jul,30,15,12.9
420,30258,2017,Aug,15,16,19.7
421,30295,2022,Jul,24,16,19.1
422,30319,2022,Jun,13,15,19.1
423,30325,2022,Apr,14,14,19.4
424,30337,2022,Jul,24,17,18.6
425,30339,2020,Feb,23,13,17.8
426,30339,2020,Feb,24,15,17.8
427,30351,2017,Jul,26,14,20.1
428,3055,2019,Aug,31,13,15.7
429,31085,2017,Jan,7,13,17.8
430,31222,2017,Apr,22,16,17.9
431,31334,2019,Jul,19,13,18.8
432,31451,2019,Aug,26,21,17.15
433,3155,2020,Sep,18,18,16.7
434,31573,2017,Jul,18,17,20.5
435,31581,2020,Aug,7,15,12.4
436,3217,2015,Jul,21,15,16.8
437,3217,2020,Aug,25,13,16.8
438,33021,2022,May,11,17,18.85
439,33029,2020,Mar,1,15,17.2
440,33029,2020,Sep,16,14,17.2
441,33095,2014,Apr,23,16,18.75
442,33095,2014,Aug,8,15,18.75
443,33104,2015,Mar,17,16,19.4
444,33202,2020,Sep,7,15,20.15
445,33202,2020,Sep,9,14,20.15
446,33202,2020,Sep,18,5,20.15
447,33212,2014,Mar,11,12,19.55
448,33229,2015,Jul,2,7,18.35
449,33230,2013,Mar,4,15,18.6
450,33233,2020,Sep,17,17,18.6
451,33238,2015,Apr,11,6,19.2
452,33251,2019,Apr,15,16,19.0
453,33273,2016,Sep,8,15,19.4
454,33300,2015,Jul,25,16,18.2
455,33322,2022,Jul,17,3,19.1
456,33329,2012,Sep,20,16,18.0
457,33348,2022,Aug,6,19,18.1
458,33376,2021,Aug,31,2,19.4
459,33422,2015,Apr,25,9,19.7
460,33436,2021,Apr,19,15,19.0
461,33498,2019,Aug,2,16,20.0
462,33498,2019,Aug,4,14,20.0
463,33544,2022,Aug,10,6,17.6
464,34003,2015,Jul,19,18,19.55
465,34004,2016,May,5,12,19.9
466,34007,2019,Mar,29,11,19.9
467,34007,2021,Aug,16,19,19.9
468,34013,2017,Jul,13,11,20.6
469,34015,2019,Aug,2,16,19.9
470,34016,2012,Mar,8,7,19.7
471,34016,2020,Aug,6,15,19.7
472,34017,2019,Sep,8,16,20.1
473,34017,2021,Aug,18,12,20.1
474,34019,2015,Jul,20,12,18.4
475,34019,2022,Aug,7,16,18.4
476,34020,2015,Aug,19,18,19.5
477,34025,2014,May,29,16,19.7
478,34026,2013,Sep,19,18,19.5
479,34031,2017,Jul,11,16,19.9
480,34032,2012,Jun,25,15,19.5
481,34032,2016,Jul,13,12,19.5
482,34032,2018,Jul,11,16,19.5
483,34032,2020,Aug,14,17,19.5
484,34036,2018,Aug,6,14,18.9
485,34036,2021,Aug,28,12,18.9
486,34038,2012,Feb,8,16,18.4
487,34040,2021,Mar,24,12,19.6
488,34045,2014,Apr,29,12,20.85
489,34045,2014,Mar,8,16,20.85
490,34045,2019,Sep,18,12,20.85
491,34045,2021,Aug,24,12,20.85
492,34055,2016,Sep,23,10,17.4
493,34055,2016,Sep,24,8,17.4
494,34056,2019,Aug,12,17,20.1
495,34056,2021,Oct,13,18,20.1
496,34061,2012,Aug,28,1,19.6
497,34061,2014,Mar,30,12,19.6
498,34061,2020,Nov,7,10,19.6
499,34073,2016,Sep,5,12,19.9
500,34074,2014,Aug,27,12,18.9
501,34076,2017,Aug,20,19,20.6
502,34087,2022,Jul,10,11,19.3
503,34092,2021,Jan,17,12,20.5
504,34093,2019,Jun,29,12,18.4
505,34093,2021,Oct,12,18,18.4
506,34095,2019,Jul,18,16,19.9
507,34096,2017,Sep,2,1,18.8
508,34103,2015,Jul,12,2,19.7
509,34103,2016,Apr,19,13,19.7
510,34103,2017,Jun,24,22,19.7
511,34113,2014,Jul,31,16,17.9
512,34116,2014,Aug,28,17,19.0
513,34116,2017,Jul,28,14,19.0
514,34118,2022,Jun,17,15,19.8
515,34121,2018,Sep,23,21,13.6
516,34123,2014,May,13,11,19.0
517,34135,2017,Jun,25,18,19.5
518,34135,2021,Jun,7,12,19.5
519,34135,2021,May,30,12,19.5
520,34135,2021,Oct,28,13,19.5
521,34143,2012,Mar,8,14,17.9
522,34143,2019,Jul,26,17,17.9
523,34143,2020,Jul,7,15,17.9
524,34144,2021,Mar,13,17,18.4
525,34145,2016,Jun,27,14,20.4
526,34145,2017,Sep,11,15,20.4
527,34145,2019,Aug,2,16,20.4
528,34147,2013,Sep,1,16,19.6
529,34147,2020,Sep,3,16,19.6
530,34148,2016,Aug,5,14,19.5
531,34156,2022,Jan,23,11,19.6
532,34158,2014,Mar,15,8,19.5
533,34162,2022,Aug,2,15,20.1
534,34163,2016,Jul,10,12,19.3
535,34165,2012,Aug,18,16,19.3
536,34165,2018,Aug,5,15,19.3
537,34165,2018,Oct,2,21,19.3
538,34165,2018,Oct,4,15,19.3
539,34165,2019,Jun,5,14,19.3
540,34165,2021,Aug,16,5,19.3
541,34166,2016,Jun,27,15,19.9
542,34166,2017,Jul,24,12,19.9
543,34166,2019,Aug,3,15,19.9
544,34168,2013,Nov,30,7,20.85
545,34168,2019,Sep,7,6,20.85
546,34169,2012,May,13,15,19.0
547,34170,2014,Feb,23,14,20.5
548,34170,2017,Oct,7,13,20.5
549,34178,2012,Feb,20,15,19.6
550,34178,2014,May,14,14,19.6
551,34178,2021,Mar,11,14,19.6
552,34180,2021,Aug,2,14,20.6
553,34181,2015,Feb,23,16,20.85
554,34181,2017,Aug,5,17,20.85
555,34181,2017,Sep,6,18,20.85
556,34183,2017,Jun,25,12,19.5
557,34183,2021,Aug,18,13,19.5
558,34186,2012,Feb,21,20,19.6
559,34186,2021,Oct,10,12,19.6
560,34190,2014,Mar,15,20,19.5
561,34197,2020,Jul,8,14,20.85
562,34200,2018,Feb,26,20,20.85
563,34205,2019,Sep,4,14,13.6
564,34206,2021,Jun,7,10,19.5
565,34209,2022,Jul,20,11,19.9
566,34210,2019,Oct,6,17,20.6
567,34211,2017,Oct,5,14,18.8
568,34213,2017,Oct,8,16,17.9
569,34213,2018,Jul,10,16,17.9
570,34213,2019,Jul,30,21,17.9
571,34213,2021,Aug,26,11,17.9
572,34214,2017,Jul,6,12,19.7
573,34214,2021,Mar,21,10,19.7
574,34214,2022,Jan,28,16,19.7
575,34218,2013,Jul,25,10,18.9
576,34221,2022,Jul,26,21,19.7
577,34225,2014,Oct,24,3,19.5
578,34225,2016,Jul,19,14,19.5
579,34226,2014,Sep,26,13,20.5
580,34226,2018,Sep,24,10,20.5
581,34226,2020,Jul,14,15,20.5
582,34230,2022,Jul,28,13,15.7
583,34232,2018,Aug,4,15,18.9
584,34232,2020,Sep,25,16,18.9
585,34235,2012,Feb,22,21,17.4
586,34235,2016,Oct,10,13,17.4
587,34235,2017,Sep,12,18,17.4
588,34235,2019,Mar,29,14,17.4
589,34235,2019,Sep,15,12,17.4
590,34235,2022,Aug,7,16,17.4
591,34237,2015,Jul,25,12,19.7
592,34237,2017,Jun,11,10,19.7
593,34242,2015,Aug,8,14,19.8
594,34268,2019,Aug,8,11,18.9
595,34268,2021,Aug,19,12,18.9
596,34268,2022,Jun,17,16,18.9
597,34279,2022,Mar,24,17,18.8
598,34281,2013,Sep,20,5,19.7
599,34281,2017,Oct,6,5,19.7
600,34281,2018,Sep,14,5,19.7
601,34281,2019,Sep,5,17,19.7
602,34281,2019,Sep,6,6,19.7
